DRS;DRSNOME;REGSAUDE;MUNICIPIO;CNES;NOME;GESTAO;GRUPO_DE_HOSPITAIS;LEITOS_CLIN_ANTERIOR_A_COVID;LEITOS_CLIN_SUS;LEITOS_CLIN_EXISTENTE_CONVERTIDO_PARA_COVID;LEITO_CLINICO_AMPLIADO_EM_FUNCIONAMENTO;LEITO_CLINICO_PARA_AMPLIACAO_FUTURA;UTI_ADULTO_EXISTE;UTI_ADULTO_SUS;UTI_ADULTO_EXISTENTE_CONVERTIDO_PARA_COVID;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_1;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_2;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_3;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_4;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_5;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_6
1;GRANDE S. PAULO;Grande ABC;SAO CAETANO DO SUL;5935857.0;"HOSPITAL MUNICIPAL DE
EMERGENCIAS ALBERT SABIN";M;Municipais;43;43;2;0;0;9;9;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO CAETANO DO SUL;6938361.0;"HOSPITAL  DE CAMPANHA SÃO
CAETANO DO SUL";M;Municipais;0;0;0;100;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;COTIA;2792141.0;HOSPITAL REGIONAL DE COTIA;E;Estaduais-OSS;44;44;32;12;0;10;10;10;10;0;0;10;0;0
1;GRANDE S. PAULO;Mananciais;COTIA;103608.0;HOSPITAL DE CAMPANHA COTIA;M;Municipais;0;0;0;36;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;EMBU;2077078.0;"UNIDADE MISTA E MATERNIDADE
CENTRAL";M;Municipais;20;20;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;EMBU;2079011.0;"HOSPITAL LEITO IRMA ANETTE
MARLENE FERNANDES DE MELLO";M;Municipais;40;40;0;0;0;0;0;0;0;0;5;0;0;0
1;GRANDE S. PAULO;Mananciais;EMBU;89621.0;"HOSPITAL DE CAMPANHA EMBU DAS
ARTES";M;Municipais;0;0;0;40;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;ITAPECERICA DA SERRA;2086271.0;"MATERNIDADE MUNICIPAL ZORAIDE
EVA DAS DORES";M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;ITAPECERICA DA SERRA;2792176.0;"HOSPITAL GERAL DE ITAPECERICA DA
SERRA";E;Estaduais-OSS;31;31;15;6;0;20;20;15;9;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;ITAPECERICA DA SERRA;7228163.0;PS CENTRAL ITAPECERICA DA SERRA;M;Municipais;11;11;0;23;0;0;0;0;0;0;8;0;0;0
1;GRANDE S. PAULO;Mananciais;TABOAO DA SERRA;2079828.0;"HOSPITAL GERAL PIRAJUSSARA
TABOAO DA SERRA";E;Estaduais-OSS;71;71;2;6;0;10;10;3;10;0;0;0;0;0
1;GRANDE S. PAULO;Mananciais;TABOAO DA SERRA;2785188.0;"UNIDADE MISTA DE TABOAO DA
SERRA";M;Municipais;32;32;0;0;0;10;0;0;0;0;8;0;0;0
1;GRANDE S. PAULO;Mananciais;TABOAO DA SERRA;105856.0;"HOSPITAL DE CAMPANHA TABOÃO DA
SERRA";M;Municipais;0;0;0;40;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;BARUERI;6095666.0;"HOSPITAL MUNICIPAL DE BARUERI DR
FRANCISCO MORAN";M;Municipais;81;81;64;0;0;20;20;11;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;CARAPICUIBA;2792168.0;HOSPITAL GERAL DE CARAPICUIBA;E;Estaduais-OSS;40;40;5;0;0;20;20;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;CARAPICUIBA;6014739.0;"CENTRO DE CONTROLE CORONAVIRUS
POLICLINICA";M;Municipais;0;0;0;27;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;ITAPEVI;2078104.0;HOSPITAL GERAL DE ITAPEVI;E;Estaduais-OSS;60;60;34;12;0;10;10;10;15;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;OSASCO;8036.0;"HOSPITAL MATERNIDADE AMADOR
AGUIAR";M;Municipais;57;57;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;OSASCO;8028.0;"HOSPITAL MUNICIPAL ANTONIO
GIGLIO";M;Municipais;78;78;48;0;0;20;12;12;10;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;OSASCO;8052.0;"HOSPITAL REGIONAL DR VIVALDO
MARTINS SIMOES OSASCO";E;Estaduais-Direta;71;71;60;0;0;40;10;0;30;0;20;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;Osasco;105597.0;"Hosp de Campanha Osasco- Policlínica
Zona Norte";M;Municipais;0;0;0;70;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;SANTANA DE PARNAIBA;146048.0;CENTRO DE COMBATE CORONAVIRUS VILA ESPERANÇA-CAMPANHA;M;Municipais;32;32;0;40;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;SANTANA DE PARNAIBA;111090.0;CENTRO DE COMBATE CORONAVIRUS ARENA-CAMPANHA;M;Municipais;0;0;0;72;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;SANTANA DE PARNAIBA;104892.0;CENTRO DE COMBATE CORONAVIRUS PARQUE FERNÃO DIAS-CAMPANHA;M;Municipais;16;16;0;40;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Rota dos Bandeirantes;SANTANA DE PARNAIBA;2072513.0;"HOSPITAL E MATERNIDADE
MUNICIPAL SANTA ANA";M;Municipais;10;10;14;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2065665.0;HOSPITAL MATERNIDADE INTERLAGOS;E;Estaduais-Direta;5;5;0;0;0;4;4;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2070766.0;"CAISM DR DAVID CAPISTRANO DA
COSTA FILHO DA AGUA FUNDA SP";E;Estaduais-Direta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2071371.0;"HOSPITAL INFANTIL DARCY VARGAS
UGA III SAO PAULO";E;Estaduais-Direta;37;37;19;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2071568.0;"HC DA FMUSP INSTITUTO DO
CORACAO INCOR SAO PAULO";E;Estaduais-Universitarios;87;65;0;0;0;119;119;15;15;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077388.0;HOSPITAL AMPARO MATERNAL;M;Priv.s. fins lucrativos;8;8;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077418.0;CAISM PHILIPPE PINEL SAO PAULO;E;Estaduais-Direta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077531.0;A C CAMARGO CANCER CENTER;M;Priv.s. fins lucrativos;128;67;0;0;0;30;22;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077590.0;IBCC;M;Priv.s. fins lucrativos;93;21;0;0;0;10;10;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077655.0;ASSOC AACD V CLEMENTINO;M;Priv.s. fins lucrativos;2;2;0;0;0;5;2;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077701.0;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;E;Estaduais-Direta;31;31;0;0;0;6;6;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2077957.0;CENTRO DE REFERENCIA E TREINAMENTO DSTAIDS SAO PAULO;E;Estaduais-Direta;26;26;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2078287.0;"CENTRO DE REFERENCIA DA SAUDE DA
MULHER SAO PAULO";E;Estaduais-Direta;44;44;10;0;0;7;7;4;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2078325.0;HOSP MUN INFANTIL MENINO JESUS;M;Municipais;0;0;0;10;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2079186.0;"HOSP MUN MAT ESC DR MARIO DE
MORAES A SILVA";M;Municipais;14;14;0;0;0;7;7;0;0;0;7;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2080125.0;"INST DO CANCER ARNALDO VIEIRA DE
CARVALHO";M;Priv.s. fins lucrativos;30;30;0;0;0;13;8;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2088495.0;"INSTITUTO DANTE PAZZANESE DE
CARDIOLOGIA IDPC SAO PAULO";E;Estaduais-Direta;114;110;0;40;0;76;62;0;0;0;0;0;30;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2088517.0;"HOSPITAL INFANTIL CANDIDO
FONTOURA SAO PAULO";E;Estaduais-Direta;12;12;12;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2089084.0;HOSP RUBEM BERTA;M;Privado;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2089203.0;"CASA DE SAUDE DE SAO JOAO DE
DEUS";M;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2089572.0;ASSOC CRUZ VERDE;M;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2089696.0;"HOSPITAL GRAACC INSTITUTO DE
ONCOLOGIA PEDIATRICA IOP";M;Priv.s. fins lucrativos;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2089785.0;HOSPITAL DO RIM E HIPERTENSAO;M;Priv.s. fins lucrativos;94;93;0;0;0;16;16;0;0;0;11;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2091356.0;HOSPITAL VITAL BRAZIL SAO PAULO;E;Estaduais-Direta;9;9;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2091399.0;"ASSOCIACAO NOSSA SENHORA DO
PARI";M;Priv.s. fins lucrativos;3;3;0;0;0;8;7;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2688514.0;"HOSPITAL PSIQUIATRICO DE VILA
MARIANA";E;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2688522.0;CASA DE DAVID SAO PAULO;E;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2688638.0;INST SUEL ABUJAMRA;M;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2812703.0;"FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE
PSIQUIATRIA SP";E;Estaduais-Universitarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;5451612.0;"INSTITUTO DE REABILITACAO LUCY
MONTORO";E;Estaduais-OSS;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;6123740.0;"INSTITUTO DO CANCER DO ESTADO DE
SAO PAULO";E;Estaduais-Universitarios;264;264;0;0;0;85;85;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;6891411.0;IBCC UNIDADE JACANA;M;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2028840.0;"INSTITUTO DE INFECTOLOGIA EMILIO
RIBAS SAO PAULO";E;Estaduais-Direta;82;82;46;0;0;17;17;0;30;0;20;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2058391.0;HOSPITAL ISRAELITA ALBERT EINSTEIN;M;Priv.s. fins lucrativos;171;17;0;0;0;37;10;0;0;0;0;0;20;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2058502.0;HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;E;Estaduais-Outros;348;0;0;0;0;64;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Sao Paulo;SAO PAULO;2066092.0;HOSPITAL GERAL DE PEDREIRA;E;Estaduais-OSS;56;56;38;2;0;13;13;13;10;0;0;0;0;19
